country,date,Onset
Austria,2020-02-15,5.621968962172648
Austria,2020-02-16,6.376333656644036
Austria,2020-02-17,7.084869059165858
Austria,2020-02-18,8.292919495635307
Austria,2020-02-19,10.174102812803104
Austria,2020-02-20,11.651794374393793
Austria,2020-02-21,13.749757516973812
Austria,2020-02-22,16.510184287099904
Austria,2020-02-23,20.279340446168767
Austria,2020-02-24,24.415130940834143
Austria,2020-02-25,28.94301648884578
Austria,2020-02-26,35.1966537342386
Austria,2020-02-27,43.480116391852576
Austria,2020-02-28,53.006304558680895
Austria,2020-02-29,63.17434529582928
Austria,2020-03-01,76.55261881668282
Austria,2020-03-02,91.04437439379242
Austria,2020-03-03,111.11129970902037
Austria,2020-03-04,131.08656644034917
Austria,2020-03-05,154.8343840931135
Austria,2020-03-06,181.19786614936953
Austria,2020-03-07,211.1173617846751
Austria,2020-03-08,243.336323957323
Austria,2020-03-09,277.70295829291945
Austria,2020-03-10,315.086323957323
Austria,2020-03-11,355.028370514064
Austria,2020-03-12,390.48957322987394
Austria,2020-03-13,425.97769156159075
Austria,2020-03-14,464.46168768186226
Austria,2020-03-15,502.01139670223085
Austria,2020-03-16,528.6001454898158
Austria,2020-03-17,549.4454413191077
Austria,2020-03-18,567.8081959262852
Austria,2020-03-19,578.0683802133851
Austria,2020-03-20,574.8077109602327
Austria,2020-03-21,570.1023278370515
Austria,2020-03-22,565.2075654704171
Austria,2020-03-23,542.9299224054316
Austria,2020-03-24,508.2480601357905
Austria,2020-03-25,477.1818622696411
Austria,2020-03-26,452.2827352085354
Austria,2020-03-27,420.0
Austria,2020-03-28,389.94956353055284
Austria,2020-03-29,361.85329776915614
Austria,2020-03-30,333.7361784675073
Austria,2020-03-31,297.9255577109602
Austria,2020-04-01,271.5429194956353
Austria,2020-04-02,249.6112997090204
Austria,2020-04-03,231.14451988360815
Austria,2020-04-04,212.85572259941802
Austria,2020-04-05,200.14282250242482
Austria,2020-04-06,188.57977691561592
Austria,2020-04-07,169.8089233753637
Austria,2020-04-08,150.3397187196896
Austria,2020-04-09,133.16828322017457
Austria,2020-04-10,117.6925315227934
Austria,2020-04-11,102.13651794374394
Austria,2020-04-12,91.75800193986422
Austria,2020-04-13,86.24345295829292
Austria,2020-04-14,80.17483026188168
Austria,2020-04-15,73.32032007759457
Austria,2020-04-16,68.79073714839961
Austria,2020-04-17,65.71629485935985
Austria,2020-04-18,61.86736178467507
Austria,2020-04-19,60.40397672162949
Austria,2020-04-20,60.14694471387003
Austria,2020-04-21,58.1188166828322
Austria,2020-04-22,57.16658583899127
Austria,2020-04-23,54.085111542192045
Austria,2020-04-24,52.433802133850634
Austria,2020-04-25,50.75266731328807
Austria,2020-04-26,48.51382153249273
Austria,2020-04-27,47.35111542192047
Austria,2020-04-28,46.22041707080504
Austria,2020-04-29,45.60305528612997
Austria,2020-04-30,44.982298739088264
Austria,2020-05-01,44.016731328806976
Austria,2020-05-02,44.3011639185257
Austria,2020-05-03,44.39112512124151
Austria,2020-05-04,44.18501454898157
Austria,2020-05-05,44.569350145489814
Austria,2020-05-06,45.035887487875854
Austria,2020-05-07,45.821774975751694
Austria,2020-05-08,45.11154219204656
Austria,2020-05-09,44.20223084384093
Austria,2020-05-10,43.78055286129971
Austria,2020-05-11,44.48690591658584
Austria,2020-05-12,42.0574684772066
Austria,2020-05-13,40.61105722599418
Austria,2020-05-14,39.62245392822503
Austria,2020-05-15,38.344083414161005
Austria,2020-05-16,35.99684772065956
Austria,2020-05-17,34.6270611057226
Austria,2020-05-18,34.29995150339476
Austria,2020-05-19,33.71556741028128
Austria,2020-05-20,31.90591658583899
Austria,2020-05-21,31.453443258971873
Austria,2020-05-22,30.430649854510186
Austria,2020-05-23,29.169010669253154
Austria,2020-05-24,28.67264791464597
Austria,2020-05-25,28.838991270611057
Austria,2020-05-26,28.920465567410282
Austria,2020-05-27,28.823957322987393
Austria,2020-05-28,29.229388942774005
Austria,2020-05-29,28.395974781765275
Austria,2020-05-30,27.839476236663433
Austria,2020-05-31,27.60160038797284
Austria,2020-06-01,28.89694471387003
Austria,2020-06-02,29.100872938894277
Austria,2020-06-03,29.91416100872939
Austria,2020-06-04,29.460717749757517
Austria,2020-06-05,29.002182347235692
Austria,2020-06-06,28.954898157129
Austria,2020-06-07,29.657371483996123
Austria,2020-06-08,31.401551891367603
Austria,2020-06-09,32.72453928225025
Austria,2020-06-10,34.5082444228904
Austria,2020-06-11,35.739815712900096
Austria,2020-06-12,37.232298739088264
Austria,2020-06-13,39.34941804073714
Austria,2020-06-14,42.25751697381183
Austria,2020-06-15,44.20465567410282
Austria,2020-06-16,47.26188166828322
Austria,2020-06-17,50.07492725509215
Austria,2020-06-18,53.751212415130944
Austria,2020-06-19,56.701260911736185
Austria,2020-06-20,60.64306498545102
Austria,2020-06-21,64.90470417070804
Austria,2020-06-22,69.90349175557711
Austria,2020-06-23,73.56838021338507
Austria,2020-06-24,78.47259941804074
Austria,2020-06-25,83.0349175557711
Austria,2020-06-26,85.90640155189136
Austria,2020-06-27,86.99709020368576
Austria,2020-06-28,90.63142580019398
Austria,2020-06-29,91.59432589718719
Austria,2020-06-30,94.8421435499515
Austria,2020-07-01,93.64476236663432
Austria,2020-07-02,95.17361784675073
Austria,2020-07-03,94.06013579049466
Austria,2020-07-04,92.94398642095052
Austria,2020-07-05,93.94156159068865
Austria,2020-07-06,98.03225024248303
Austria,2020-07-07,101.02400581959263
Austria,2020-07-08,102.7582444228904
Austria,2020-07-09,105.63069835111543
Austria,2020-07-10,109.22453928225025
Austria,2020-07-11,110.18501454898157
Austria,2020-07-12,115.34190106692532
Austria,2020-07-13,119.78031037827353
Austria,2020-07-14,124.00678952473328
Austria,2020-07-15,122.9856935014549
Austria,2020-07-16,124.98326867119302
Austria,2020-07-17,125.04582929194956
Austria,2020-07-18,126.47672162948592
Austria,2020-07-19,128.8797284190107
Austria,2020-07-20,130.60960232783705
Austria,2020-07-21,132.35305528612997
Austria,2020-07-22,131.26939864209504
Austria,2020-07-23,129.7313288069835
Austria,2020-07-24,128.75630455868088
Austria,2020-07-25,129.22647914645972
Austria,2020-07-26,130.67240543161978
Austria,2020-07-27,130.8790009699321
Austria,2020-07-28,131.92967992240543
Austria,2020-07-29,132.17967992240543
Austria,2020-07-30,134.38603297769157
Austria,2020-07-31,137.27643064985452
Austria,2020-08-01,144.21241513094083
Austria,2020-08-02,150.30771096023278
Austria,2020-08-03,160.59602327837052
Austria,2020-08-04,170.48011639185256
Austria,2020-08-05,179.82274490785647
Austria,2020-08-06,189.73423860329777
Austria,2020-08-07,200.03225024248303
Austria,2020-08-08,212.00290979631427
Austria,2020-08-09,224.1656159068865
Austria,2020-08-10,234.26091173617846
Austria,2020-08-11,242.64645974781766
Austria,2020-08-12,250.23035887487876
Austria,2020-08-13,253.69859359844813
Austria,2020-08-14,254.29073714839961
Austria,2020-08-15,257.77279340446165
Austria,2020-08-16,264.01818622696413
Austria,2020-08-17,269.99515033947625
Austria,2020-08-18,270.7987390882638
Austria,2020-08-19,276.081231813773
Austria,2020-08-20,282.32080504364694
Austria,2020-08-21,285.85717749757515
Austria,2020-08-22,294.46605237633366
Austria,2020-08-23,305.2638215324927
Austria,2020-08-24,322.0312803103783
Austria,2020-08-25,328.87948593598446
Austria,2020-08-26,343.98860329776915
Austria,2020-08-27,349.7829776915616
Austria,2020-08-28,368.60499515033945
Austria,2020-08-29,385.26576139670226
Austria,2020-08-30,413.6483996120272
Austria,2020-08-31,436.92143549951504
Austria,2020-09-01,461.3120756547042
Austria,2020-09-02,480.80237633365664
Austria,2020-09-03,504.216537342386
Austria,2020-09-04,514.6006304558681
Austria,2020-09-05,532.051406401552
Austria,2020-09-06,546.492240543162
Austria,2020-09-07,562.0421920465567
Austria,2020-09-08,544.579776915616
Austria,2020-09-09,528.0788069835112
Austria,2020-09-10,497.9866634335596
Austria,2020-09-11,462.33583899127063
Austria,2020-09-12,403.2109602327837
Austria,2020-09-13,362.7946168768186
Austria,2020-09-14,320.97405431619785
Austria,2020-09-15,268.39573229873906
Austria,2020-09-16,199.85717749757515
Austria,2020-09-17,143.53249272550923
Austria,2020-09-18,84.16416100872938
Austria,2020-09-19,37.13094083414161
Austria,2020-09-20,4.9561105722599414
Belarus,2020-02-15,0.16391852570320076
Belarus,2020-02-16,0.1644034917555771
Belarus,2020-02-17,0.18525703200775945
Belarus,2020-02-18,0.23326867119301647
Belarus,2020-02-19,0.3215324927255092
Belarus,2020-02-20,0.3872453928225024
Belarus,2020-02-21,0.406886517943744
Belarus,2020-02-22,0.5152764306498545
Belarus,2020-02-23,0.5746847720659554
Belarus,2020-02-24,0.8399612027158099
Belarus,2020-02-25,1.0152764306498545
Belarus,2020-02-26,1.1011154219204655
Belarus,2020-02-27,1.4912706110572258
Belarus,2020-02-28,1.5055771096023278
Belarus,2020-02-29,1.9493210475266731
Belarus,2020-03-01,2.2744907856450047
Belarus,2020-03-02,2.928467507274491
Belarus,2020-03-03,3.5834141610087293
Belarus,2020-03-04,3.8159553831231814
Belarus,2020-03-05,4.343598448108633
Belarus,2020-03-06,4.626333656644036
Belarus,2020-03-07,5.431619786614936
Belarus,2020-03-08,6.206838021338506
Belarus,2020-03-09,6.7989815712900095
Belarus,2020-03-10,7.532250242483026
Belarus,2020-03-11,8.30140640155189
Belarus,2020-03-12,9.096508244422889
Belarus,2020-03-13,9.810620756547042
Belarus,2020-03-14,11.54607177497575
Belarus,2020-03-15,13.26479146459748
Belarus,2020-03-16,15.912463627546071
Belarus,2020-03-17,19.26066925315228
Belarus,2020-03-18,22.066925315227937
Belarus,2020-03-19,26.319350145489818
Belarus,2020-03-20,32.20198836081474
Belarus,2020-03-21,39.77085354025219
Belarus,2020-03-22,48.54146459747818
Belarus,2020-03-23,57.850630455868085
Belarus,2020-03-24,71.67677012609117
Belarus,2020-03-25,87.21580989330747
Belarus,2020-03-26,102.44568380213386
Belarus,2020-03-27,121.409796314258
Belarus,2020-03-28,143.04801163918526
Belarus,2020-03-29,168.8171677982541
Belarus,2020-03-30,194.09359844810865
Belarus,2020-03-31,223.02667313288072
Belarus,2020-04-01,256.8154704170708
Belarus,2020-04-02,286.15203685742
Belarus,2020-04-03,312.3913676042677
Belarus,2020-04-04,341.5436469447139
Belarus,2020-04-05,374.20271580989333
Belarus,2020-04-06,401.65955383123185
Belarus,2020-04-07,429.6202715809893
Belarus,2020-04-08,458.79364694471394
Belarus,2020-04-09,483.93525703200777
Belarus,2020-04-10,503.46071774975746
Belarus,2020-04-11,523.4192531522793
Belarus,2020-04-12,552.6825897187196
Belarus,2020-04-13,582.4837536372454
Belarus,2020-04-14,613.1294859359845
Belarus,2020-04-15,646.1556741028128
Belarus,2020-04-16,674.8600872938895
Belarus,2020-04-17,704.4609602327837
Belarus,2020-04-18,733.3178952473327
Belarus,2020-04-19,763.5298254122212
Belarus,2020-04-20,795.3603297769156
