region,date,mean,median,lower_90,upper_90,lower_50,upper_50
Austria,2020-02-16,1.559170017105813,1.5054699259757385,1.142804393676008,2.0003400081574343,1.2850025676751395,1.61549043937092
Austria,2020-02-17,1.5615433772396,1.5076235113899648,1.1320385788113447,1.9850131786748577,1.2797293398672374,1.6082133349687384
Austria,2020-02-18,1.5632861189795009,1.5090786096466269,1.1343096956032512,1.9852048511295544,1.2918871065306157,1.6206187791155224
Austria,2020-02-19,1.5654086302277403,1.5089269128358107,1.1431432263187875,1.992849811134921,1.287832426785601,1.612877175850945
Austria,2020-02-20,1.5687143693152183,1.5150254446850453,1.139595734731848,1.9869210013617176,1.2943054578893993,1.6191952692827354
Austria,2020-02-21,1.5704471610245279,1.5172424305021792,1.1579209031180582,1.999288598696593,1.294611600757132,1.6193961832575678
Austria,2020-02-22,1.5717223927016153,1.5202727128822773,1.1372958356063196,1.985184798935477,1.283986797624296,1.607930508472048
Austria,2020-02-23,1.5721421707323302,1.519932195316374,1.1646134626013913,1.9995188557082886,1.2905950197217455,1.60951370841269
Austria,2020-02-24,1.573584467520229,1.5219198170123245,1.1471092868128405,1.9758627938316242,1.2793954759434831,1.6029027180121054
Austria,2020-02-25,1.5744506657378192,1.524951768109029,1.1568171896908874,1.9791016775803287,1.2783295792301745,1.6037514980798715
Austria,2020-02-26,1.5759695264040234,1.5300460308580948,1.1624526937697552,1.9796230499906886,1.286970855699367,1.615648507951959
Austria,2020-02-27,1.5760888771671655,1.5273670715496679,1.168138294916102,1.9839466518940316,1.2935272390391341,1.615993496859402
Austria,2020-02-28,1.5761319315690911,1.5267404815628987,1.1483468928141427,1.9710532323890564,1.301351571283014,1.623309627949955
Austria,2020-02-29,1.5756981488308897,1.526849004782697,1.1437260649539565,1.9591573579576453,1.3029735255382882,1.6224048156442068
Austria,2020-03-01,1.5732584872571074,1.5241260921137358,1.1691154042813192,1.9807366618044697,1.3245862091809038,1.6454309308727515
Austria,2020-03-02,1.5700912637249078,1.5210376439453466,1.1571583226201698,1.9572583680087736,1.3263634961205668,1.6399309765469035
Austria,2020-03-03,1.5647153610616524,1.5159481669711092,1.1719679007025903,1.96400203510363,1.3041583888073924,1.6076304028675712
Austria,2020-03-04,1.5583392025283005,1.5108665306372293,1.1660504630400117,1.9365324461141538,1.2857286643447248,1.5855763297851375
Austria,2020-03-05,1.5512471462644413,1.5060398746957802,1.1604151426797258,1.9249169428028994,1.301298906331909,1.596978299563879
Austria,2020-03-06,1.54202300877886,1.4975661091497399,1.1775786819908671,1.9255242903405447,1.283829146186142,1.5742797970230922
Austria,2020-03-07,1.5288591064834367,1.4870375271355851,1.1700165603083155,1.902860888043431,1.2712450052563717,1.5525121294422155
Austria,2020-03-08,1.5133529644106707,1.4700063880514447,1.1558623193636655,1.8640875651286701,1.2778925347622516,1.5550941118261843
Austria,2020-03-09,1.496551154897272,1.4542342637983379,1.139282689275689,1.823812793641015,1.2644904032187838,1.5294962181690144
Austria,2020-03-10,1.4756032039674543,1.4369502905787948,1.1478641278323294,1.8012070360516588,1.265552142114171,1.5242783709447196
Austria,2020-03-11,1.4524125790709008,1.4145632866137432,1.1458796632904216,1.7727649160968832,1.260497904436805,1.5046977177078764
Austria,2020-03-12,1.4276435725882977,1.389589747175655,1.1267669884908744,1.7177825528758333,1.2275671174903529,1.4587796920545752
Austria,2020-03-13,1.399167208479041,1.3637246822359868,1.0984350104828877,1.6596110028353617,1.201090425807716,1.415635473879721
Austria,2020-03-14,1.3630087547194225,1.3319045451575153,1.1069601435621086,1.6275314123796198,1.1931809024753801,1.388249085393988
Austria,2020-03-15,1.328330341262256,1.3000249026211605,1.084761409455328,1.5577700836624349,1.1659728670911687,1.3467022276533325
Austria,2020-03-16,1.2932360551758224,1.267817747925917,1.077035615590072,1.5151065153310723,1.1420902959760701,1.3104441739156352
Austria,2020-03-17,1.2548591010221375,1.2308815036222627,1.053515832128467,1.4526792205284802,1.1371132431153659,1.2886389368240942
Austria,2020-03-18,1.2083346218492919,1.1876602335050488,1.0351220159767416,1.382513732901504,1.0935203741664485,1.2244568470589314
Austria,2020-03-19,1.1611092617799053,1.1426801565521356,1.0078740689380812,1.3140803799972387,1.0626361910494644,1.179069748612518
Austria,2020-03-20,1.1155775966012016,1.1010701587018357,0.9799772869220188,1.2641536872968007,1.0315673487544832,1.1344585990565275
Austria,2020-03-21,1.065404605324776,1.056268904588697,0.9346726981817413,1.2022847698627774,1.00982610315417,1.1056027168216749
Austria,2020-03-22,1.0174312085868502,1.015121299558138,0.8953854343933112,1.154806041640625,0.9697095887601431,1.0558247249107668
Austria,2020-03-23,0.9747118397972027,0.9789313503717585,0.844226118528884,1.0983544611656972,0.9383299044592289,1.0248438168854277
Austria,2020-03-24,0.9340816005275424,0.9448124094547357,0.8025593711478103,1.0645408348399894,0.9140999323444438,1.004055548043848
Austria,2020-03-25,0.8883547096951675,0.9043329258130332,0.7487197526340565,1.0181256562957934,0.8774752102783675,0.9765977853525181
Austria,2020-03-26,0.8487332031439202,0.8658788897739593,0.704320014142688,0.9964518444864561,0.8390745768701509,0.9493071330169705
Austria,2020-03-27,0.8212286872174116,0.8394937963464137,0.6716689039190312,0.974208791918791,0.8051386257799357,0.9270898108347013
Austria,2020-03-28,0.797784803700265,0.8178162757483416,0.6380866323879757,0.9652265536251358,0.7760206330488548,0.9036035007152533
Austria,2020-03-29,0.7757318713205955,0.7968458499464721,0.6051560827498714,0.9578777948770014,0.7515955865723702,0.8878329745483009
Austria,2020-03-30,0.758635167114612,0.7806668944285202,0.5800880603245022,0.9507093526537211,0.7450820952604279,0.8909649994629585
Austria,2020-03-31,0.7453763228636402,0.7675726486643022,0.5620308182961683,0.9444828798778495,0.7210747961565538,0.871793436406264
Austria,2020-04-01,0.7318709171509746,0.7562056136906221,0.5444020401202088,0.9442431013796484,0.7229055788096859,0.8800996810789973
Austria,2020-04-02,0.7202511800038098,0.7454391525338921,0.5170370539617409,0.9279041630126543,0.701151240041477,0.860710369500276
Austria,2020-04-03,0.7139425795215597,0.7408679793200812,0.5048476711699574,0.9253535862656284,0.7074787044044609,0.8721211335991965
Austria,2020-04-04,0.7103198496994299,0.7364281822698691,0.49614943692892655,0.9272671056923376,0.6951228103346268,0.8625136530296196
Austria,2020-04-05,0.7066481540439769,0.7346064268775966,0.4909783842681771,0.9206720640526399,0.6956277443456436,0.8646181988248217
Austria,2020-04-06,0.7049558432946855,0.732681481268539,0.4984333663994185,0.9252693933591413,0.6909825461181741,0.8599341708579643
Austria,2020-04-07,0.7028265479826513,0.730558172559381,0.48386168614637215,0.9242770097110456,0.6888390781296458,0.8600093820017994
Austria,2020-04-08,0.6994357570254677,0.7258101044123744,0.48785436843184704,0.9256203337775607,0.6743709893270484,0.849565386109545
Austria,2020-04-09,0.6950420880607712,0.7198349621586695,0.47329258521380224,0.9197765272393073,0.6563903149366588,0.8367267483729411
Austria,2020-04-10,0.6923923247497944,0.7196132901032778,0.45598324300809756,0.915035068182653,0.6674405201485155,0.8475962193343071
Austria,2020-04-11,0.693123531864294,0.7224328769576087,0.44686624167236455,0.9064147658742664,0.6612048808480961,0.8416782689451987
Austria,2020-04-12,0.6944262202270232,0.7252207741728224,0.46281529304902413,0.9296239453321785,0.6831926292062358,0.8645693630278963
Austria,2020-04-13,0.7011722009526856,0.7301303288792522,0.46730589875394435,0.9238252387864972,0.6949358909059495,0.8736764331377563
Austria,2020-04-14,0.7111141099245238,0.7404927571708079,0.48950359924240805,0.94544542448319,0.6878022455105882,0.8621872943738844
Austria,2020-04-15,0.721168153331622,0.7512720597215241,0.49564916035309514,0.9530505570979833,0.7140219449970613,0.8839898566063317
Austria,2020-04-16,0.730066046743266,0.7568212200145071,0.5112690263152778,0.9641793241720399,0.7151665942315419,0.884841666933029
Austria,2020-04-17,0.7404990418736709,0.7687603467314266,0.5077358878252298,0.9585366785761189,0.7321682673082569,0.8998855374088172
Austria,2020-04-18,0.752208011020392,0.7788233765808459,0.531939797816563,0.968396119386478,0.7465059959998649,0.9113314905832977
Austria,2020-04-19,0.7637475665282419,0.7890777859190368,0.5473445385201299,0.9783673809526797,0.7458617584843376,0.9092905660732455
Austria,2020-04-20,0.7735919294450062,0.7972692238711241,0.5637474470816348,0.982440538341635,0.7577595173133769,0.9178310564272875
Austria,2020-04-21,0.7854511273728894,0.8092088618756483,0.5731853944438725,0.9877033262914278,0.7593383386471968,0.9190910193286302
Austria,2020-04-22,0.7960278188130474,0.8205146388500701,0.5746934514102802,0.9850745231393162,0.7745011513107606,0.9328749551668939
Austria,2020-04-23,0.8050618295964089,0.8287440526147697,0.5936907838942691,1.0032605466698994,0.795179167016346,0.948940810582344
Austria,2020-04-24,0.8136767023892598,0.8369695970873685,0.6046219505729622,1.0163019081375446,0.8013089914255985,0.9516604093563138
Austria,2020-04-25,0.8196609854126785,0.841183663189228,0.6120050261691904,1.028191852366963,0.7959143548620737,0.9439385025400866
Austria,2020-04-26,0.8275490130127777,0.849856956076313,0.6032699345039945,1.024875846582582,0.7995239212495204,0.9478385525481227
Austria,2020-04-27,0.8350201680981603,0.8577171707139115,0.6137835990187763,1.0331860966429551,0.8102683374230486,0.9588893404815269
Austria,2020-04-28,0.8438388849460084,0.8658318674124772,0.6302641163685916,1.057287735571029,0.8197008643427027,0.9689848573813116
Austria,2020-04-29,0.850489990064714,0.8717462439341513,0.6297435713809731,1.0528419798933228,0.8161352911560819,0.9627563241199354
Austria,2020-04-30,0.8597851207191478,0.8800802108591566,0.6374985900073447,1.0621169594314286,0.838410670829987,0.9872006932643705
Austria,2020-05-01,0.8694684481616736,0.8884483743047971,0.6621153687703052,1.0742971721187802,0.8336247554767732,0.9822197561260038
Austria,2020-05-02,0.8765725065793294,0.8954416543363602,0.6598333332101478,1.076501991283169,0.839095040920562,0.9832799149445085
Austria,2020-05-03,0.8835669438492453,0.8999253441966175,0.6583435694431627,1.077073513223273,0.8438765606071752,0.9905132352405843
Austria,2020-05-04,0.8908007735087832,0.905008749369097,0.6875392895081153,1.1009782610411658,0.8469896378291161,0.9936092396991438
Austria,2020-05-05,0.896628688842122,0.9103336086227323,0.7026931275534507,1.110757333794967,0.8559609437281028,1.0035583096829979
Austria,2020-05-06,0.9014735255093794,0.9157102118475244,0.6946720073545541,1.1030593339141583,0.8685086477813021,1.016249561153232
Austria,2020-05-07,0.9078492211383854,0.9206534899594389,0.6861285222070919,1.0980016573610618,0.8718741178220797,1.0119052513631128
Austria,2020-05-08,0.9122621226309385,0.9230976658242123,0.7152595730897667,1.1219212461780044,0.8657427821294574,1.0037424544159168
Austria,2020-05-09,0.9160774976181347,0.9275107127696455,0.7246792594262461,1.122796781488943,0.8636842766473131,1.0002588398303498
Austria,2020-05-10,0.917721223193542,0.9280172755297775,0.7263547925319107,1.132502116557133,0.8690280963330432,1.006392845386599
Austria,2020-05-11,0.9208117418713913,0.9309031643238077,0.7148945108611047,1.1272510850380764,0.8817829204943366,1.017391891257508
Austria,2020-05-12,0.9234069489104417,0.9339696156375363,0.7033688841831292,1.1093630031395825,0.8762561629720255,1.0142517647369784
Austria,2020-05-13,0.9252930725206947,0.936619638056828,0.7165256308418637,1.12012215485458,0.8873615870415663,1.0260780616807328
Austria,2020-05-14,0.9268057333101082,0.9384101249724652,0.7355704699786534,1.1387983583182886,0.8728384107548802,1.0101984792906056
Austria,2020-05-15,0.9300987095609243,0.9416764346499493,0.7227062999998788,1.1288371522686909,0.8724537596711899,1.0156711169858221
Austria,2020-05-16,0.9334440969667768,0.9434750846711646,0.7325810188068353,1.133288936494894,0.8788833898005404,1.0204513492215896
Austria,2020-05-17,0.9363758268557282,0.9458633581089981,0.7240547201893116,1.1355471024093595,0.8942544103981855,1.037821771774857
Austria,2020-05-18,0.9390120129712117,0.9484345756460448,0.7263966366573025,1.1412547712504841,0.8775031377418233,1.0229418191328237
Austria,2020-05-19,0.9431725457228315,0.9520193633801015,0.7349746533198043,1.1410147049339279,0.8880694954620022,1.0303782671341877
Austria,2020-05-20,0.9476782230900079,0.9544111500403449,0.740792658747267,1.1489961149468095,0.8869502305155753,1.0320104543479887
Austria,2020-05-21,0.9530756922491679,0.9611553690548534,0.7300921388372923,1.1401497246568069,0.9003864054556194,1.0432086350782286
Austria,2020-05-22,0.9573820983514632,0.9640150104968832,0.7433528904622266,1.1583980789890016,0.8805133486744736,1.0268169834602503
Austria,2020-05-23,0.9622025621448645,0.9677157743566827,0.7493986706412481,1.169606531623302,0.9026233161161914,1.0485161525918092
Austria,2020-05-24,0.9682785419902178,0.9711894856304453,0.7496480008780548,1.1665365303007256,0.9112642786422878,1.0601628128014213
Austria,2020-05-25,0.9723062281460852,0.9765516625516607,0.7476848082226396,1.1692908183292543,0.8840472064982019,1.031944940219721
Austria,2020-05-26,0.9780587811920397,0.9816539698605141,0.7685865112903205,1.1986435189217282,0.9061363113902534,1.0546577505481283
Austria,2020-05-27,0.9837241936823281,0.9883171997192736,0.7713565335121167,1.1953755335833018,0.9109993575099039,1.0577607779307021
Austria,2020-05-28,0.98949868908688,0.991004114606065,0.7720945870231836,1.1972129991790652,0.9125138218850941,1.0617999054175882
Austria,2020-05-29,0.994624271938111,0.9962501962615978,0.7869225558621722,1.2225532739516738,0.92332324062807,1.0716563656400118
Austria,2020-05-30,1.0010970041737421,1.0022134859110796,0.8011841778500443,1.2275188507051975,0.9362938554136873,1.0848163281217857
Austria,2020-05-31,1.0064530371728826,1.007372874157621,0.7858741375185005,1.2167447633475827,0.9353966972120606,1.0827426706452725
Austria,2020-06-01,1.0136975575074476,1.01352065544362,0.8012092205003307,1.2289567239734605,0.9364283771421286,1.0809677521244045
Austria,2020-06-02,1.0208337016731865,1.0184160129310704,0.8103330746953455,1.2464428661996025,0.9297735545377979,1.0761803503308773
Austria,2020-06-03,1.0282146885300276,1.0224484758240422,0.8192593813013854,1.2493485851655397,0.9361412930851477,1.081394579468268
Austria,2020-06-04,1.0348694673765952,1.0274543888740504,0.8288299482270228,1.2520907775548236,0.9499776621763608,1.0938072941407269
Austria,2020-06-05,1.042107025883468,1.0332308961786705,0.8398800384248669,1.2640577173736793,0.9512420001932128,1.0925779662419774
Austria,2020-06-06,1.0482838572705786,1.037268015725404,0.8376611589111111,1.2557695268864606,0.9557952996890223,1.0961448861426772
Austria,2020-06-07,1.0557783678588264,1.0448285821587413,0.8553835201336562,1.2697303528819572,0.9625840114730685,1.1041060602027926
Austria,2020-06-08,1.0635184203670973,1.050338356644866,0.852657386286328,1.2675015499250022,0.968783442759443,1.1112303240068593
Austria,2020-06-09,1.0716725493205614,1.058824842808597,0.8699960318362374,1.2846903398335372,0.9850637736734024,1.1261449383236755
Austria,2020-06-10,1.0776952246824179,1.0649851526078584,0.8771804106984585,1.2972751968967136,0.9778872091289817,1.122445171515002
Austria,2020-06-11,1.0848075393328696,1.0698308681137285,0.8897104456586824,1.312282483870085,0.9789355743306011,1.1254752993346613
Austria,2020-06-12,1.0914013574549422,1.0772256618878395,0.8875501744943785,1.3132949116593593,0.9855580784731677,1.1311949583762724
Austria,2020-06-13,1.0979467337222977,1.0838060734142956,0.9084142787465697,1.3236917123799787,0.9910884544863507,1.1338634528082094
Austria,2020-06-14,1.1032640886735992,1.08610545367785,0.9117712249245925,1.3257369066397773,0.996494697913038,1.141350465498284
Austria,2020-06-15,1.1088262824644592,1.090497010244413,0.9244074724920309,1.336606319664011,1.0076100286270477,1.1499312269110809
Austria,2020-06-16,1.1139834684390095,1.0959189285360074,0.9340159917776578,1.3411503025158404,1.0127095932314216,1.152772672131399
Austria,2020-06-17,1.118785003045541,1.1016490852321836,0.9232122709242421,1.3309117411617821,1.0095587687283858,1.1503308110725254
Austria,2020-06-18,1.1224252381235194,1.101465470369361,0.9374865108774566,1.3402576889234448,1.007935132259451,1.149483884133053
Austria,2020-06-19,1.1260263724428425,1.1080398022431572,0.9277140433533978,1.329435958550936,1.0159507531842267,1.153532276027353
Austria,2020-06-20,1.1302035562867625,1.110722846522334,0.9463224673553721,1.3491086651196513,1.0129452418075282,1.1525252753102935
Austria,2020-06-21,1.132035463466464,1.1099862428937195,0.9335854827235568,1.3358322148816373,1.0189393575562578,1.1569606202460996
Austria,2020-06-22,1.1340019878785699,1.112917641670124,0.9404981561400285,1.3344291998251951,1.0257255528763503,1.163230214028724
Austria,2020-06-23,1.13386649698563,1.1135139207286926,0.9504896141017082,1.332608619019378,1.0124682093704145,1.1511155184525002
Austria,2020-06-24,1.133851362965472,1.115490862032026,0.9632142436111282,1.3388778173785623,1.0289524711062812,1.1630550211646689
Austria,2020-06-25,1.13196960915659,1.1124734802369391,0.94828213187503,1.3163347151619693,1.0264809518306217,1.1559062916820129
Austria,2020-06-26,1.1272902559915496,1.1089142401581302,0.9498904591622126,1.3120927569614829,1.0205870905435426,1.1495298448167872
Austria,2020-06-27,1.1242515150174606,1.1060209541756179,0.9574593552731947,1.320136256566159,1.0214641749007993,1.1477505486304196
Austria,2020-06-28,1.11936721380606,1.1015419508049882,0.9314845248272301,1.2932222881531636,1.0117873235619852,1.139159060564316
